integration_area,candidate_platform,official_pricing_url,pricing_checked_on,free_tier,student_education_benefit,startup_credit,estimated_cost_dev,estimated_cost_beta,estimated_cost_prod,benefits,drawbacks,complexity,best_fit_for_repo,recommendation_reason
Frontend Hosting,Vercel,https://vercel.com/pricing,2026-03-06,"Hobby: unlimited static deploys; 100GB bandwidth/month; Serverless Functions 100GB-hrs","GitHub Student Pack: Pro plan free while student","N/A (Student Pack covers Pro)",₹0/month,₹0-1680/month (Pro if needed),₹1680/month (Pro ₹20),Edge network; zero-config Vite deploy; instant preview URLs; SPA rewrites via vercel.json; Analytics built-in,Serverless function cold starts; vendor lock-in on edge features; hobby plan has 100GB bandwidth cap,Low,YES,"Already configured (vercel.json + SPA rewrite exists); GitHub Student Pack Pro is free; zero migration cost; best DX for Vite+React"
Frontend Hosting,Netlify,https://www.netlify.com/pricing/,2026-03-06,"Free: 100GB bandwidth/month; 300 build min/month; 1 concurrent build","GitHub Student Pack: $10 credit (limited)","N/A",₹0/month,₹0-1596/month,₹1596/month (Pro ₹19),Forms; split testing; identity; edge functions; generous free tier,Slower build times than Vercel for Vite; $10 student credit burns fast; no vercel.json equivalent so migration needed,Low,MAYBE,"Viable alternative if Vercel Student Pack expires; comparable free tier but requires removing vercel.json config"
Frontend Hosting,Cloudflare Pages,https://pages.cloudflare.com/,2026-03-06,"Free: unlimited requests; unlimited bandwidth; 500 builds/month; Workers included","No direct Student Pack benefit","N/A — Workers free tier is generous",₹0/month,₹0/month,₹0-2000/month (Workers usage),Unlimited bandwidth and requests; no egress fees; global CDN at 300+ PoPs; DDoS protection free; Workers for SSR,No vercel.json support (migration needed); Workers API differs from Vercel serverless; smaller ecosystem than Vercel,Medium,MAYBE,"Best for zero-bandwidth-cost hosting at scale; no egress fees matter for India; good upgrade path if Vercel costs escalate"
Frontend Hosting,Render Static,https://render.com/pricing,2026-03-06,"Free: unlimited static sites; automatic TLS; global CDN","GitHub Student Pack: $10 credit","N/A",₹0/month,₹0/month,₹0/month (static is always free),Simple deploy from Git; HTTPS automatic; works with Vite build,Less mature CDN than Vercel/Cloudflare; no edge functions; fewer integrations; smaller community,Low,LOW,"Static hosting is free but CDN performance in India is weaker than Vercel/Cloudflare; best as fallback only"
Backend Hosting,Render,https://render.com/pricing,2026-03-06,"Free: 512MB RAM; spins down after 15min inactivity; 750 hrs/month","GitHub Student Pack: $10 credit","N/A",₹0/month (free tier; expect cold starts),₹588/month (Starter $7),₹5000/month (Standard $25 × 2 instances),Simple Git-based deploy; PostgreSQL add-on; Redis add-on; zero DevOps; auto-HTTPS; preview environments,Free tier spins down (bad for APIs); $10 student credit runs out fast; no persistent disk on free,Low,YES,"Easiest production path; GitHub Student Pack credit offsets first month; zero DevOps burden suits student team"
Backend Hosting,Railway,https://railway.app/pricing,2026-03-06,"Free: $5/month credits included in Hobby plan; usage-based beyond that","N/A (no Student Pack)","Hobby plan includes $5 free credit",₹0/month ($5 credit covers hobby usage),₹420/month (~$5 usage),₹3360-5040/month ($40-60 usage),Excellent DX; built-in PostgreSQL+Redis; usage-based pricing is fair; no cold starts; CLI is superb; monorepo support,Usage billing surprises; $5/month credit doesn't go far at scale; no Student Pack benefit,Low,YES,"Best developer experience; built-in DB+cache avoids separate services; usage-based pricing cheapest for beta; most beginner-friendly"
Backend Hosting,Fly.io,https://fly.io/docs/about/pricing/,2026-03-06,"Free: 3 shared-CPU-1x VMs; 3GB persistent volumes; 160GB outbound/month","N/A","N/A",₹0/month (free allowance),₹1008/month (~$12; 2 × shared-cpu-1x 256MB),₹8400/month (~$100 for production scale),True containerized deployment; persistent volumes; global regions including Singapore (nearest to India); no cold starts,Steeper learning curve (flyctl); requires Docker knowledge; Wireguard VPN for private networking; not beginner-friendly,High,MAYBE,"Good for production scale; Singapore region reduces latency for India; requires more DevOps than Railway/Render"
Backend Hosting,DigitalOcean App Platform,https://www.digitalocean.com/pricing/app-platform,2026-03-06,"Free: static sites only; Basic $5/month for apps","GitHub Student Pack: $200 credit for 1 year","N/A",₹0/month (Student Pack credit),₹420/month ($5 Basic),₹4200/month ($50 for 2-4 workers),Managed Kubernetes optional; $200 student credit covers ~3 months; good documentation; Bangalore region available,App Platform is basic compared to Railway; $5 Basic is limited (512MB RAM); needs upgrade for Node.js prod,Medium,MAYBE,"$200 Student Pack credit is valuable for initial months; Bangalore data center gives low latency for India users"
Backend Hosting,Google Cloud Run,https://cloud.google.com/run/pricing,2026-03-06,"Free: 2M requests/month; 360,000 vCPU-seconds; 180,000 GiB-seconds; 1GB egress/month","N/A (Google for Startups ≠ Student Pack)","$300 free credit for new accounts",₹0/month ($300 credit),₹500/month (~$6; pay-per-use at low traffic),₹3024/month (~$36 at moderate traffic),Scale to zero; pay per request; Mumbai region; integrates with Firebase/BigQuery; no idle cost,Cold starts on scale-to-zero; Docker required; GCP billing complexity; IAM setup overhead,High,MAYBE,"$300 free credit covers 3+ months of beta; Mumbai region is best latency for India; pay-per-request model ideal for variable traffic"
Database Hosting,Neon,https://neon.tech/pricing,2026-03-06,"Free: 0.5GB storage; 1 project; 10 branches; compute auto-suspends","GitHub Student Pack: Pro plan free for 1 year ($228 value)","N/A",₹0/month (Student Pack Pro),₹0/month (Student Pack Pro),₹1596/month ($19 Pro),Database branching (create DB clone per PR); serverless autoscaling; Postgres 16; Prisma-native integration; point-in-time restore,0.5GB free tier storage is tight; auto-suspend has cold starts; relatively new service,Low,YES,"GitHub Student Pack Pro (1 year) is outstanding value; branching feature perfect for team dev with shared PRs; Prisma + Neon is well-documented"
